"Story","Title","Result","Date","Stability","Duration (s)"
"Actualizar nombre de empleado","Cambio de nombre de empleado en una orden de compra existente","SUCCESS","2023-05-26T00:30:41.309-05:00[America/Bogota]","0.0","13.04"
"Inicio de sesion","Inicio de sesion exitoso con credenciales validas","SUCCESS","2023-05-26T00:30:55.016-05:00[America/Bogota]","0.0","7.04"
